ppm	X1	X2	X3	X4	X5	X6
11.71238	12.477	-15.844	79.938	-128.203	12.671	-39.908
11.71195	55.646	-12.647	39.604	-122.902	-10.237	-55.769
11.71152	21.811	-68.456	-32.162	-55.226	-60.646	-46.931
11.7111	73.774	-18.062	-72.521	27.887	3.881	-96.976
11.71067	17.074	-6.951	-8.025	23.863	6.782	-103.657
11.71024	2.296	46.677	-9.215	23.209	17.066	13.555
11.70982	-10.893	-7.335	-31.312	-8.314	-46.833	53.089
11.70939	-71.81	-22.579	25.315	-28.86	-193.042	88.249
11.70896	-77.153	-33.134	-27.692	40.589	-30.279	76.765
11.70854	-17.993	-107.275	15.224	20.638	111.459	104.285
11.70811	67.837	31.128	67.823	-8.965	73.954	37.7
11.70769	126.239	61.829	60.969	-27.852	12.755	-32.516
11.70726	94.245	8.766	-3.983	-50.723	63.111	-30.771
11.70683	54.246	6.509	-89.584	-63.556	70.6	-108.056
11.70641	-3.209	-30.431	-73.831	-78.451	4.053	-54.095
11.70598	-38.956	80.355	48.774	-56.269	5.199	-74.402
11.70555	20.258	54.676	70.707	-37.025	-42.993	-22.628
11.70513	66.491	13.205	-8.054	-14.512	-63.221	169.562
11.7047	-36.72	6.508	-70.165	78.881	-54.059	130.955
11.70427	-62.255	10.673	-19.245	110.047	-173.728	88.157
11.70385	-119.873	-63.804	-33.616	104.265	-70.669	79.952
11.70342	-237.007	-26.859	-37.49	8.138	5.443	27.899
11.703	-133.873	100.241	-62.642	-66.038	79.2	35.399
11.70257	32.612	-44.336	-161.978	7.672	177.104	-37.603
11.70214	16.763	-83.955	-20.383	19.752	22.024	-26.748
11.70172	149.601	-77.258	54.902	-7.841	-126.527	-57.164
11.70129	164.612	-94.86	48.846	5.863	-165.163	8.94
11.70086	0.585	-105.317	111.347	50.992	-134.036	-33.943
11.70044	80.641	-57.598	43.294	63.512	-63.287	4.277
11.70001	13.228	6.795	43.708	54.731	90.82	28.155
11.69958	20.531	-4.206	121.265	66.765	165.07	-69.794
11.69916	64.543	47.298	31.736	-52.86	117.912	-10.116
11.69873	-10.856	48.42	-7.934	-119.521	-3.719	-94.186
11.69831	-10.453	9.375	-36.128	-55.737	51.613	-82.722
11.69788	-19.117	66.95	-42.847	-47.758	129.562	-86.459
11.69745	-14.245	56.761	46.327	-77.206	118.109	-44.273
11.69703	39.947	-65.521	4.849	-86.985	36.771	113.269
11.6966	53.002	36.04	23.801	-113.688	-63.945	46.263
11.69617	59.98	38.273	-21.749	-52.129	-48.389	5.185
11.69575	8.501	66.109	-103.038	-20.746	-45.2	74.684
11.69532	-21.36	71.778	-17.509	34.489	-91.547	1.287
11.69489	-59.739	43.712	-29.603	119.93	-99.997	-16.091
11.69447	0.226	-28.051	-28.122	162.688	-87.909	-28.081
11.69404	-31.164	-34.911	-30.728	66.334	-69.268	55.696
11.69361	26.937	5.114	113.549	127.445	-84.746	24.606
11.69319	8.556	-118.543	166.573	147.504	60.795	-15.531
11.69276	-87.727	-53.499	69.139	68.013	138.16	-15.06
11.69234	-120.756	-36.931	-83.34	103.051	17.817	23.404
11.69191	30.27	80.111	-160.781	38.178	153.537	42.184
11.69148	-57.55	40.187	-57.269	-85.249	107.383	-54.931
11.69106	23.906	-36.997	-90.577	-91.924	20.849	65.297
11.69063	59.171	-37.372	-64.42	-74.601	28.837	-27.342
11.6902	-24.178	35.056	75.519	-51.605	-54.542	-22.436
11.68978	-24.383	84.709	105.792	-5.5	-2.025	7.292
11.68935	-16.188	44.021	34.509	-22.744	-51.806	-11.555
11.68892	-6.465	-15.441	-11.99	49.213	-110.409	-13.394
11.6885	-92.172	6.091	-60.212	82.164	-29.043	98.969
11.68807	-98.133	-27.875	-4.694	82.722	-127.104	103.076
11.68765	82.313	-64.231	5.199	-49.799	-20.724	-75.58
11.68722	179.857	-3.939	-9.495	-177.369	94.807	-145.912
11.68679	134.479	117.33	39.643	-42.028	-8.264	-68.681
11.68637	30.79	103.556	-12.496	-4.795	-16.466	-35.908
11.68594	89.339	30.271	35.718	-54.474	-97.855	0.103
11.68551	118.461	9.344	-4.64	-108.281	-66.096	-22.676
11.68509	24.727	6.974	-119.582	-60.396	59.219	-122.452
11.68466	-10.579	-67.768	-128.995	-5.553	-82.779	-56.244
11.68423	-39.637	5.346	-110.416	-18.588	-76.745	28.544
