Metabolite,pos_in_ppm,couple_code,J_constant,no_of_protons,overwrite_pos,overwrite_var,overwrite_truncation,Include_multiplet
17-Hydroxyprogesterone,2.61,"1,1,1","14.72,11.66,2.81 ",4,n,n,n,1
17-Hydroxyprogesterone,2.2,0,0,11,n,n,n,1
17-Hydroxyprogesterone,1.95,"1,1,1","13.33,4.77,3.18 ",3,n,n,n,1
17-Hydroxyprogesterone,1.12,0,0,9,n,n,n,1
17-Hydroxyprogesterone,0.69,0,0,9,n,n,n,1
17a-Estradiol,0.77,0,,3,n,n,n,1
17a-Estradiol,3.65,2,8.67,1,n,n,n,1
17a-Estradiol,6.47,1,2.59,1,n,n,n,1
17a-Estradiol,6.53,"1,1","8.42,2.70",1,n,n,n,1
17a-Estradiol,7.07,1,8.47,1,n,n,n,1
17a-Ethynylestradiol,7.16,1,8.33,6,n,n,n,1
17a-Ethynylestradiol,6.63,1,8.01,6,n,n,n,1
17a-Ethynylestradiol,2.61,0,0,4,n,n,n,1
17a-Ethynylestradiol,0.89,0,0,11,n,n,n,1
17a-Hydroxypregnenolone,0.5,0,,3,n,n,n,1
17a-Hydroxypregnenolone,0.94,0,,3,n,n,n,1
2-Amino-3-phosphonopropionic acid,1.69,"1,2","15.10,12.97",1,n,n,n,1
2-Amino-3-phosphonopropionic acid,2.09,"1,1,1","17.22,15.05,2.45",1,n,n,n,1
2-Amino-3-phosphonopropionic acid,3.81,"1,1","12.96,7.18",1,n,n,n,1
2-Aminobenzoic acid,6.81,"1,1,1","7.92,7.07,1.18",1,n,n,n,1
2-Aminobenzoic acid,6.85,"1,1","8.12,0.74",1,n,n,n,1
2-Aminobenzoic acid,7.29,"1,1,1","8.28,7.01,1.65",1,n,n,n,1
2-Aminoisobutyric acid,1.48,0,0,6,n,n,n,1
2-Ethyl-2-Hydroxybutyric acid,0.87,2,7.48,3,n,n,n,1
2-Ethylacrylic acid,1,2,7.46,3,n,n,n,1
2-Ethylacrylic acid,2.24,3,7.46,2,n,n,n,1
2-Ethylacrylic acid,5.24,3,1.6,2,n,n,n,1
2-Furoic acid,6.548,"1,1","3.43,1.78",1,n,n,n,1
